Datum,Bundesland,Vorabmeldung,Elektronisch übermittelte Fälle,Todesfälle
04.03.2020,Brandenburg,1,,
04.03.2020,Berlin,7,,
04.03.2020,Baden-Württemberg,50,,
04.03.2020,Bayern,48,,
04.03.2020,Bremen,3,,
04.03.2020,Hessen,12,,
04.03.2020,Hamburg,3,,
04.03.2020,Mecklenburg-Vorpommern,4,,
04.03.2020,Niedersachsen,7,,
04.03.2020,Nordrhein-Westfalen,115,,
04.03.2020,Rheinland-Pfalz,7,,
04.03.2020,Saarland,1,,
04.03.2020,Schleswig-Holstein,2,,
04.03.2020,Sachsen,1,,
04.03.2020,Thüringen,1,,
05.03.2020,Brandenburg,1,,
05.03.2020,Berlin,13,,
05.03.2020,Baden-Württemberg,73,,
05.03.2020,Bayern,70,,
05.03.2020,Bremen,3,,
05.03.2020,Hessen,14,,
05.03.2020,Hamburg,5,,
05.03.2020,Mecklenburg-Vorpommern,4,,
05.03.2020,Niedersachsen,18,,
05.03.2020,Nordrhein-Westfalen,181,,
05.03.2020,Rheinland-Pfalz,8,,
05.03.2020,Saarland,1,,
05.03.2020,Schleswig-Holstein,7,,
05.03.2020,Sachsen,1,,
05.03.2020,Thüringen,1,,
06.03.2020,Brandenburg,2,,
06.03.2020,Berlin,19,,
06.03.2020,Baden-Württemberg,96,,
06.03.2020,Bayern,117,,
06.03.2020,Bremen,4,,
06.03.2020,Hessen,16,,
06.03.2020,Hamburg,11,,
06.03.2020,Mecklenburg-Vorpommern,5,,
06.03.2020,Niedersachsen,18,,
06.03.2020,Nordrhein-Westfalen,329,,
06.03.2020,Rheinland-Pfalz,10,,
06.03.2020,Saarland,2,,
06.03.2020,Schleswig-Holstein,7,,
06.03.2020,Sachsen,2,,
06.03.2020,Thüringen,1,,
07.03.2020,Baden-Württemberg,170,,
07.03.2020,Bayern,134,,
07.03.2020,Berlin,28,,
07.03.2020,Brandenburg,2,,
07.03.2020,Bremen,4,,
07.03.2020,Hamburg,13,,
07.03.2020,Hessen,17,,
07.03.2020,Mecklenburg-Vorpommern,5,,
07.03.2020,Niedersachsen,19,,
07.03.2020,Nordrhein-Westfalen,373,,
07.03.2020,Rheinland-Pfalz,13,,
07.03.2020,Saarland,3,,
07.03.2020,Sachsen,4,,
07.03.2020,Schleswig-Holstein,8,,
07.03.2020,Thüringen,2,,
08.03.2020,Baden-Württemberg,182,,
08.03.2020,Bayern,172,,
08.03.2020,Berlin,40,,
08.03.2020,Brandenburg,4,,
08.03.2020,Bremen,4,,
08.03.2020,Hamburg,13,,
08.03.2020,Hessen,19,,
08.03.2020,Mecklenburg-Vorpommern,8,,
08.03.2020,Niedersachsen,21,,
